/usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/Songyu/Projects/DL_Project/Theano/cnn.py
epoch 1, minibatch 20/20, train loss 1.384036, validation loss 1.386315, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 2, minibatch 20/20, train loss 1.384129, validation loss 1.386306, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 3, minibatch 20/20, train loss 1.384142, validation loss 1.386296, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 4, minibatch 20/20, train loss 1.384146, validation loss 1.386285, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 5, minibatch 20/20, train loss 1.384149, validation loss 1.386272, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 6, minibatch 20/20, train loss 1.384153, validation loss 1.386255, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 7, minibatch 20/20, train loss 1.384156, validation loss 1.386236, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 8, minibatch 20/20, train loss 1.384159, validation loss 1.386214, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 9, minibatch 20/20, train loss 1.384161, validation loss 1.386186, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 10, minibatch 20/20, train loss 1.384163, validation loss 1.386153, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 11, minibatch 20/20, train loss 1.384163, validation loss 1.386113, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 12, minibatch 20/20, train loss 1.384163, validation loss 1.386063, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 13, minibatch 20/20, train loss 1.384161, validation loss 1.386000, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 14, minibatch 20/20, train loss 1.384159, validation loss 1.385923, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 15, minibatch 20/20, train loss 1.384163, validation loss 1.385836, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 16, minibatch 20/20, train loss 1.384161, validation loss 1.385737, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 17, minibatch 20/20, train loss 1.384156, validation loss 1.385621, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 18, minibatch 20/20, train loss 1.384149, validation loss 1.385486, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 19, minibatch 20/20, train loss 1.384142, validation loss 1.385328, train acc 0.000000 %, validation acc 27.500000 %, test acc 27.272727 %
epoch 20, minibatch 20/20, train loss 1.384135, validation loss 1.385139, train acc 0.000000 %, validation acc 27.500000 %, test acc 27.272727 %
epoch 21, minibatch 20/20, train loss 1.384133, validation loss 1.384918, train acc 0.000000 %, validation acc 27.500000 %, test acc 27.272727 %
epoch 22, minibatch 20/20, train loss 1.384128, validation loss 1.384663, train acc 0.000000 %, validation acc 27.500000 %, test acc 27.272727 %
epoch 23, minibatch 20/20, train loss 1.384126, validation loss 1.384365, train acc 0.000000 %, validation acc 27.500000 %, test acc 28.636364 %
epoch 24, minibatch 20/20, train loss 1.384128, validation loss 1.384025, train acc 0.000000 %, validation acc 32.500000 %, test acc 31.363636 %
epoch 25, minibatch 20/20, train loss 1.384126, validation loss 1.383635, train acc 0.000000 %, validation acc 47.500000 %, test acc 35.909091 %
epoch 26, minibatch 20/20, train loss 1.384120, validation loss 1.383188, train acc 0.000000 %, validation acc 47.500000 %, test acc 40.000000 %
epoch 27, minibatch 20/20, train loss 1.384110, validation loss 1.382677, train acc 0.000000 %, validation acc 47.500000 %, test acc 43.636364 %
epoch 28, minibatch 20/20, train loss 1.384095, validation loss 1.382092, train acc 0.000000 %, validation acc 47.500000 %, test acc 46.818182 %
epoch 29, minibatch 20/20, train loss 1.384074, validation loss 1.381418, train acc 0.000000 %, validation acc 47.500000 %, test acc 49.090909 %
epoch 30, minibatch 20/20, train loss 1.384047, validation loss 1.380644, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.000000 %
epoch 31, minibatch 20/20, train loss 1.384012, validation loss 1.379754, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.000000 %
epoch 32, minibatch 20/20, train loss 1.383974, validation loss 1.378731, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.454545 %
epoch 33, minibatch 20/20, train loss 1.383938, validation loss 1.377563, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.909091 %
epoch 34, minibatch 20/20, train loss 1.383903, validation loss 1.376240, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.909091 %
epoch 35, minibatch 20/20, train loss 1.383863, validation loss 1.374749, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.909091 %
epoch 36, minibatch 20/20, train loss 1.383816, validation loss 1.373070, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.909091 %
epoch 37, minibatch 20/20, train loss 1.383757, validation loss 1.371183, train acc 0.000000 %, validation acc 50.000000 %, test acc 51.363636 %
epoch 38, minibatch 20/20, train loss 1.383685, validation loss 1.369068, train acc 0.000000 %, validation acc 50.000000 %, test acc 51.363636 %
epoch 39, minibatch 20/20, train loss 1.383597, validation loss 1.366701, train acc 0.000000 %, validation acc 50.000000 %, test acc 51.363636 %
epoch 40, minibatch 20/20, train loss 1.383492, validation loss 1.364058, train acc 0.000000 %, validation acc 50.000000 %, test acc 50.909091 %
epoch 41, minibatch 20/20, train loss 1.383366, validation loss 1.361114, train acc 0.000000 %, validation acc 50.000000 %, test acc 51.363636 %
epoch 42, minibatch 20/20, train loss 1.383218, validation loss 1.357842, train acc 0.000000 %, validation acc 50.000000 %, test acc 51.818182 %
epoch 43, minibatch 20/20, train loss 1.383048, validation loss 1.354214, train acc 0.000000 %, validation acc 50.000000 %, test acc 54.090909 %
epoch 44, minibatch 20/20, train loss 1.382857, validation loss 1.350193, train acc 0.000000 %, validation acc 50.000000 %, test acc 55.909091 %
epoch 45, minibatch 20/20, train loss 1.382644, validation loss 1.345735, train acc 0.000000 %, validation acc 50.000000 %, test acc 56.363636 %
epoch 46, minibatch 20/20, train loss 1.382412, validation loss 1.340801, train acc 0.000000 %, validation acc 50.000000 %, test acc 57.727273 %
epoch 47, minibatch 20/20, train loss 1.382173, validation loss 1.335375, train acc 0.000000 %, validation acc 50.000000 %, test acc 59.090909 %
epoch 48, minibatch 20/20, train loss 1.381913, validation loss 1.329440, train acc 0.000000 %, validation acc 50.000000 %, test acc 60.454545 %
epoch 49, minibatch 20/20, train loss 1.381624, validation loss 1.322973, train acc 0.000000 %, validation acc 50.000000 %, test acc 62.727273 %
epoch 50, minibatch 20/20, train loss 1.381306, validation loss 1.315952, train acc 5.000000 %, validation acc 52.500000 %, test acc 65.454545 %
epoch 51, minibatch 20/20, train loss 1.380961, validation loss 1.308358, train acc 5.000000 %, validation acc 52.500000 %, test acc 67.727273 %
epoch 52, minibatch 20/20, train loss 1.380589, validation loss 1.300158, train acc 5.000000 %, validation acc 52.500000 %, test acc 69.090909 %
epoch 53, minibatch 20/20, train loss 1.380198, validation loss 1.291308, train acc 5.000000 %, validation acc 55.000000 %, test acc 71.363636 %
epoch 54, minibatch 20/20, train loss 1.379800, validation loss 1.281819, train acc 5.000000 %, validation acc 57.500000 %, test acc 71.818182 %
epoch 55, minibatch 20/20, train loss 1.379387, validation loss 1.271712, train acc 10.000000 %, validation acc 60.000000 %, test acc 73.181818 %
epoch 56, minibatch 20/20, train loss 1.378951, validation loss 1.261005, train acc 10.000000 %, validation acc 60.000000 %, test acc 73.181818 %
epoch 57, minibatch 20/20, train loss 1.378498, validation loss 1.249723, train acc 10.000000 %, validation acc 62.500000 %, test acc 73.181818 %
epoch 58, minibatch 20/20, train loss 1.378034, validation loss 1.237897, train acc 10.000000 %, validation acc 65.000000 %, test acc 75.454545 %
epoch 59, minibatch 20/20, train loss 1.377566, validation loss 1.225564, train acc 10.000000 %, validation acc 65.000000 %, test acc 75.909091 %
epoch 60, minibatch 20/20, train loss 1.377098, validation loss 1.212765, train acc 10.000000 %, validation acc 65.000000 %, test acc 76.363636 %
epoch 61, minibatch 20/20, train loss 1.376638, validation loss 1.199549, train acc 10.000000 %, validation acc 65.000000 %, test acc 76.363636 %
epoch 62, minibatch 20/20, train loss 1.376190, validation loss 1.185969, train acc 10.000000 %, validation acc 67.500000 %, test acc 78.181818 %
epoch 63, minibatch 20/20, train loss 1.375762, validation loss 1.172084, train acc 10.000000 %, validation acc 67.500000 %, test acc 78.181818 %
epoch 64, minibatch 20/20, train loss 1.375357, validation loss 1.157953, train acc 10.000000 %, validation acc 67.500000 %, test acc 78.636364 %
epoch 65, minibatch 20/20, train loss 1.374979, validation loss 1.143637, train acc 10.000000 %, validation acc 67.500000 %, test acc 79.090909 %
epoch 66, minibatch 20/20, train loss 1.374633, validation loss 1.129198, train acc 10.000000 %, validation acc 67.500000 %, test acc 79.545455 %
epoch 67, minibatch 20/20, train loss 1.374321, validation loss 1.114698, train acc 10.000000 %, validation acc 67.500000 %, test acc 79.545455 %
epoch 68, minibatch 20/20, train loss 1.374046, validation loss 1.100196, train acc 10.000000 %, validation acc 67.500000 %, test acc 80.000000 %
epoch 69, minibatch 20/20, train loss 1.373810, validation loss 1.085749, train acc 10.000000 %, validation acc 70.000000 %, test acc 80.000000 %
epoch 70, minibatch 20/20, train loss 1.373612, validation loss 1.071410, train acc 10.000000 %, validation acc 70.000000 %, test acc 80.909091 %
epoch 71, minibatch 20/20, train loss 1.373452, validation loss 1.057223, train acc 10.000000 %, validation acc 70.000000 %, test acc 80.909091 %
epoch 72, minibatch 20/20, train loss 1.373327, validation loss 1.043225, train acc 10.000000 %, validation acc 70.000000 %, test acc 81.363636 %
epoch 73, minibatch 20/20, train loss 1.373235, validation loss 1.029457, train acc 10.000000 %, validation acc 70.000000 %, test acc 81.363636 %
epoch 74, minibatch 20/20, train loss 1.373170, validation loss 1.015948, train acc 10.000000 %, validation acc 70.000000 %, test acc 81.363636 %
epoch 75, minibatch 20/20, train loss 1.373127, validation loss 1.002725, train acc 10.000000 %, validation acc 70.000000 %, test acc 81.818182 %
epoch 76, minibatch 20/20, train loss 1.373100, validation loss 0.989801, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.272727 %
epoch 77, minibatch 20/20, train loss 1.373088, validation loss 0.977186, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.272727 %
epoch 78, minibatch 20/20, train loss 1.373082, validation loss 0.964884, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.272727 %
epoch 79, minibatch 20/20, train loss 1.373072, validation loss 0.952908, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.272727 %
epoch 80, minibatch 20/20, train loss 1.373053, validation loss 0.941277, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.727273 %
epoch 81, minibatch 20/20, train loss 1.373027, validation loss 0.929995, train acc 10.000000 %, validation acc 70.000000 %, test acc 82.727273 %
epoch 82, minibatch 20/20, train loss 1.372976, validation loss 0.919066, train acc 10.000000 %, validation acc 70.000000 %, test acc 83.181818 %
epoch 83, minibatch 20/20, train loss 1.372885, validation loss 0.908491, train acc 10.000000 %, validation acc 70.000000 %, test acc 83.181818 %
epoch 84, minibatch 20/20, train loss 1.372740, validation loss 0.898266, train acc 10.000000 %, validation acc 70.000000 %, test acc 83.636364 %
epoch 85, minibatch 20/20, train loss 1.372520, validation loss 0.888378, train acc 10.000000 %, validation acc 70.000000 %, test acc 83.636364 %
epoch 86, minibatch 20/20, train loss 1.372214, validation loss 0.878812, train acc 10.000000 %, validation acc 70.000000 %, test acc 83.636364 %
epoch 87, minibatch 20/20, train loss 1.371814, validation loss 0.869553, train acc 15.000000 %, validation acc 70.000000 %, test acc 83.636364 %
epoch 88, minibatch 20/20, train loss 1.371306, validation loss 0.860588, train acc 15.000000 %, validation acc 70.000000 %, test acc 83.636364 %
epoch 89, minibatch 20/20, train loss 1.370683, validation loss 0.851905, train acc 15.000000 %, validation acc 72.500000 %, test acc 83.636364 %
epoch 90, minibatch 20/20, train loss 1.369936, validation loss 0.843483, train acc 15.000000 %, validation acc 72.500000 %, test acc 84.090909 %
epoch 91, minibatch 20/20, train loss 1.369059, validation loss 0.835294, train acc 15.000000 %, validation acc 72.500000 %, test acc 85.000000 %
epoch 92, minibatch 20/20, train loss 1.368047, validation loss 0.827320, train acc 15.000000 %, validation acc 75.000000 %, test acc 85.909091 %
epoch 93, minibatch 20/20, train loss 1.366893, validation loss 0.819554, train acc 15.000000 %, validation acc 75.000000 %, test acc 86.363636 %
epoch 94, minibatch 20/20, train loss 1.365588, validation loss 0.811988, train acc 20.000000 %, validation acc 75.000000 %, test acc 86.363636 %
epoch 95, minibatch 20/20, train loss 1.364123, validation loss 0.804610, train acc 35.000000 %, validation acc 75.000000 %, test acc 86.363636 %
